video,video_short,comment_index,comment,manual_7_emotion,manual_3_sentiment,pretrained_7_emotion,finetuned_7_emotion,sentiment_pipeline_3,pretrained_7_match,finetuned_7_match,sentiment_3_match,domain_adapted_7_emotion,domain_adapted_7_match,previous_manual_7_emotion,previous_manual_3_sentiment,manual_label_changed,manual_review_note,manual_review_source,pretrained_7_score,finetuned_7_score,domain_adapted_7_score,samlowe_roberta_7_emotion,samlowe_roberta_7_score,samlowe_roberta_7_match,jhartmann_roberta_large_7_emotion,jhartmann_roberta_large_7_score,jhartmann_roberta_large_7_match,sentiment_pipeline_3_score
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,1,Learn more: Why Rare Earths Are China’s Trump Card in Trade War - https://bloom.bg/4nG7F63,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.7637,0.5596,0.3952,neutral,0.8639,Yes,neutral,0.7532,Yes,0.8981
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,2,Funny how they complain they cannot bully China,anger,negative,neutral,joy,negative,No,No,Yes,joy,No,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.3571,0.8192,0.6648,joy,0.7937,No,anger,0.3018,Yes,0.5937
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,3,"Remember the US restricted sale of semiconductors to China, they responded by restricting sale of rare earth materials to the US. In the old days western countries dominated world trade, now that has shifted to Asia. The western powers must accept one thing, you can't dominate the world forever.",anger,negative,neutral,neutral,neutral,No,No,No,anger,Yes,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.6278,0.7841,0.526,neutral,0.5912,No,neutral,0.6768,No,0.6248
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,4,China is only using rare earth as geopolitical leverage in response to US using its dominance in semiconductor as geopolitical leverage.,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.9097,0.7793,0.7314,neutral,0.9322,Yes,neutral,0.7777,Yes,0.7369
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,5,China never used it as geopolitical leverage until it had to.,neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.9306,0.8149,0.7051,neutral,0.8851,Yes,neutral,0.6394,Yes,0.6133
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,6,You can restrict semiconductors and chips to China but China can't hold rare earth material,anger,negative,neutral,neutral,neutral,No,No,No,neutral,No,neutral,neutral,Yes,rhetorical criticism about policy double standard,assistant_manual_review_2026-05-27,0.9375,0.6866,0.5089,neutral,0.7272,No,neutral,0.9032,No,0.5127
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,7,Maybe not using your precious Rare earth on weapons. 😂,anger,negative,neutral,neutral,negative,No,No,Yes,neutral,No,neutral,neutral,Yes,sarcastic criticism of weapon use,assistant_manual_review_2026-05-27,0.8235,0.8295,0.7525,neutral,0.4415,No,neutral,0.688,No,0.5499
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,8,"I remember learning in school back around 2000 that we in China had the rare earth deposits but our refining capability was so poor we could only export raw ore to countries like Japan, making a tiny profit in the whole value chain. Now watching this video i feel proud of my country and our people. We don't need to argue with others. Just do our job, improvise everyday and enjoy our lives. We dont need to envy or be afraid of the bullies.",joy,positive,joy,joy,neutral,Yes,Yes,No,fear,No,sadness,negative,Yes,dominant emotion is pride and positive national progress,assistant_manual_review_2026-05-27,0.9795,0.642,0.4576,joy,0.2701,Yes,fear,0.4035,No,0.4598
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,9,"There is nothing rare about ""rare"" earths. Its the processing plants that are rare.",neutral,neutral,neutral,neutral,neutral,Yes,Yes,Yes,neutral,Yes,neutral,neutral,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.8214,0.5544,0.3939,neutral,0.8046,Yes,neutral,0.6947,Yes,0.617
https://www.youtube.com/watch?v=d2dgJGkw5p0,rare_earths,10,"US is always the one that starting the trouble, China just reacting. this REM case show that many times US start something without thinking everything. like so many other cases. when you started it, don't blame others for reacting.",anger,negative,neutral,neutral,negative,No,No,Yes,anger,Yes,anger,negative,No,confirmed after assistant manual review,assistant_manual_review_2026-05-27,0.3705,0.3619,0.7343,neutral,0.659,No,anger,0.6423,Yes,0.7491
